"filename", "language", "JavaScript", "Objective-C", "XML", "Objective-C++", "C++", "JSON", "Java Properties", "Groovy", "Batch", "Makefile", "Java", "comment", "blank", "total"
"c:\Users\maste\Desktop\Projects\React Native\personal projects\instgram_clone_fullstack\src\screens\Search\components\Left4X.js", "JavaScript", 70, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 73
"c:\Users\maste\Desktop\Projects\React Native\personal projects\instgram_clone_fullstack\src\screens\Search\components\Popover.js", "JavaScript", 80, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 84
"c:\Users\maste\Desktop\Projects\React Native\personal projects\instgram_clone_fullstack\src\screens\Search\components\Right2X.js", "JavaScript", 67, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 70
"c:\Users\maste\Desktop\Projects\React Native\personal projects\instgram_clone_fullstack\src\screens\Search\components\Right4X.js", "JavaScript", 70, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 73
"c:\Users\maste\Desktop\Projects\React Native\personal projects\instgram_clone_fullstack\src\screens\Search\components\SearchBox.js", "JavaScript", 54, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 57
"c:\Users\maste\Desktop\Projects\React Native\personal projects\instgram_clone_fullstack\src\screens\Search\components\SearchContent.js", "JavaScript", 52, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 60
"c:\Users\maste\Desktop\Projects\React Native\personal projects\instgram_clone_fullstack\src\screens\StoryScreen\StoryScreen.js", "JavaScript", 148, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 161
"c:\Users\maste\Desktop\Projects\React Native\personal projects\instgram_clone_fullstack\src\utils\ResolveAuth.js", "JavaScript", 57, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 62
"c:\Users\maste\Desktop\Projects\React Native\personal projects\instgram_clone_fullstack\src\utils\auth.js", "JavaScript", 33, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6, 40
"c:\Users\maste\Desktop\Projects\React Native\personal projects\instgram_clone_fullstack\src\utils\hooks\useGetUser.js", "JavaScript", 17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 23
"c:\Users\maste\Desktop\Projects\React Native\personal projects\instgram_clone_fullstack\src\utils\hooks\useKeyboardListener.js", "JavaScript", 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 26
"c:\Users\maste\Desktop\Projects\React Native\personal projects\instgram_clone_fullstack\src\utils\usefulAlgorithms.js", "JavaScript", 75, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 24, 99
"Total", "-", 4254, 61, 100, 85, 165, 112, 11, 207, 68, 28, 306, 350, 647, 6394
